Passengers (All U.S. Carriers - All Major Airports (Destination Airport)),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2020,12,"1,88,71,679","13,33,088","2,02,04,767"
2020,TOTAL,"22,83,55,937","1,63,45,695","24,47,01,632"
2021,1,"1,68,30,725","16,85,333","1,85,16,058"
2021,2,"1,68,78,934","10,34,175","1,79,13,109"
2021,3,"2,66,23,635","16,66,962","2,82,90,597"
2021,4,"2,98,13,213","20,08,256","3,18,21,469"
2021,5,"3,58,94,504","23,57,163","3,82,51,667"
2021,6,"4,01,15,006","28,14,874","4,29,29,880"
2021,7,"4,45,06,868","33,70,159","4,78,77,027"
2021,8,"4,08,98,419","33,09,489","4,42,07,908"
2021,9,"3,68,75,223","24,00,465","3,92,75,688"
2021,10,"4,11,90,656","25,90,949","4,37,81,605"
2021,11,"4,05,57,116","28,55,138","4,34,12,254"
2021,12,"4,03,45,912","31,07,478","4,34,53,390"
2021,TOTAL,"41,05,30,211","2,92,00,441","43,97,30,652"
2022,1,"3,08,67,030","30,88,363","3,39,55,393"
2022,2,"3,30,45,375","27,11,152","3,57,56,527"
2022,3,"4,33,23,475","37,65,062","4,70,88,537"
2022,4,"4,26,68,514","40,77,842","4,67,46,356"
2022,5,"4,51,64,473","41,36,472","4,93,00,945"
2022,6,"4,49,09,144",,
2022,7,"4,60,35,943",,
2022,8,"4,45,46,857",,
2022,TOTAL,"33,05,60,811","1,77,78,891","21,28,47,758"
,,,,
Note: All numbers are for scheduled services.,,,,
,,,,
SOURCE: Bureau of Transportation Statistics T-100 Market data.,,,,
